"ZCH1_SOLL";"ZCH2_SOLL";"ZCH3_SOLL";"GESAMT_SOLL";"ZCH1_IST";"ZCH2_IST";"ZCH3_IST";"GESAMT_IST";"ZFW";"ZFW_NEW";"MIN_REL";"SD_RELgrMIN";"ZFW_V3";"ZFW_V4";"ZFW_V5"
6;5;4;15;6;1;2;9;4,2;3,32165393878765;0,2;0,354;331,811393878765;5,46744238324448;331,740593878765
10;2;2;14;6;1;2;9;1,39974612030456;3,59397974184501;0,5;0,283;359,114974184501;6,17086321674788;359,058374184501
9;3;2;14;6;1;2;9;1,91068360252296;3,50382589172216;0,333;0,236;350,146589172216;6,18074887299789;350,099389172216
8;4;2;14;6;1;2;9;2,54730177875068;3,41475246183592;0,25;0,177;341,298246183592;6,22509373792689;341,262846183592
8;3;3;14;6;1;2;9;1,96396844541735;3,4445338222369;0,333;0,059;344,39438222369;6,68584014896183;344,38258222369
7;5;2;14;6;1;2;9;3,28782687899304;3,32785345720122;0,2;0,101;332,684345720122;6,31959371522512;332,664145720122
7;4;3;14;6;1;2;9;2,67116021232637;3,3576348176022;0,25;0,135;335,62848176022;6,2619889348281;335,60148176022
6;6;2;14;6;1;2;9;4,16666666666667;3,24461114287519;0,167;0;324,461114287519;6,48922228575039;324,461114287519
6;5;3;14;6;1;2;9;3,53333333333333;3,27439250327617;0,2;0,236;327,203250327617;5,77602837577917;327,156050327617
6;4;4;14;6;1;2;9;3,25;3,32165393878765;0,25;0,354;331,811393878765;5,46744238324448;331,740593878765
9;2;2;13;6;1;2;9;1,07735026918963;3,50382589172216;0,5;0,236;350,146589172216;6,18074887299789;350,099389172216
8;3;2;13;6;1;2;9;1,63063511208401;3,41475246183592;0,333;0,177;341,298246183592;6,22509373792689;341,262846183592
7;4;2;13;6;1;2;9;2,33782687899304;3,32785345720122;0,25;0,101;332,684345720122;6,31959371522512;332,664145720122
7;3;3;13;6;1;2;9;1,7544935456597;3,3576348176022;0,333;0,135;335,62848176022;6,2619889348281;335,60148176022
6;5;2;13;6;1;2;9;3,2;3,24461114287519;0,2;0;324,461114287519;6,48922228575039;324,461114287519
6;4;3;13;6;1;2;9;2,58333333333333;3,27439250327617;0,25;0,236;327,203250327617;5,77602837577917;327,156050327617
8;2;2;12;6;1;2;9;0,79730177875068;3,41475246183592;0,5;0,177;341,298246183592;6,22509373792689;341,262846183592
7;3;2;12;6;1;2;9;1,42116021232637;3,32785345720122;0,333;0,101;332,684345720122;6,31959371522512;332,664145720122
6;4;2;12;6;1;2;9;2,25;3,24461114287519;0,25;0;324,461114287519;6,48922228575039;324,461114287519
6;3;3;12;6;1;2;9;1,66666666666667;3,27439250327617;0,333;0,236;327,203250327617;5,77602837577917;327,156050327617
7;2;2;11;6;1;2;9;0,587826878993038;3,32785345720122;0,5;0,101;332,684345720122;6,31959371522512;332,664145720122
6;3;2;11;6;1;2;9;1,33333333333333;3,24461114287519;0,333;0;324,461114287519;6,48922228575039;324,461114287519
6;2;2;10;6;1;2;9;0,5;3,24461114287519;0,5;0;324,461114287519;6,48922228575039;324,461114287519
12;2;1;15;6;2;1;9;1,61185489773531;3,77434222930251;0,5;0;377,434222930251;7,54868445860503;377,434222930251
11;3;1;15;6;2;1;9;1,58128898509723;3,71415319920492;0,545;0,236;371,179319920492;6,55176624339749;371,132119920492
11;2;2;15;6;2;1;9;1,74795565176389;3,68437183880394;0,5;0,321;368,116183880394;6,18606031735182;368,051983880394
10;4;1;15;6;2;1;9;1,89974612030456;3,67102253775747;0,5;0,283;366,819253775747;6,30314569732958;366,762653775747
10;3;2;15;6;2;1;9;1,73307945363789;3,62376110224599;0,5;0,047;362,329110224599;7,07720543268642;362,319710224599
9;5;1;15;6;2;1;9;2,37735026918963;3,63476111480432;0,4;0,236;363,240111480432;6,41171860651483;363,192911480432
9;4;2;15;6;2;1;9;2,07735026918963;3,58086868763462;0,5;0;358,086868763462;7,16173737526924;358,086868763462
9;3;3;15;6;2;1;9;2,24401693585629;3,53360725212314;0,333;0;353,360725212314;7,06721450424628;353,360725212314
8;6;1;15;6;2;1;9;2,96396844541735;3,59965911608905;0,333;0,177;359,788911608905;6,56217856863033;359,753511608905
8;5;2;15;6;2;1;9;2,59730177875068;3,54568768491809;0,4;0,177;354,391768491809;6,46378864960567;354,356368491809
8;4;3;15;6;2;1;9;2,63063511208401;3,49179525774838;0,333;0,177;349,002525774838;6,3655427548753;348,967125774838
7;7;1;15;6;2;1;9;3,65925545042161;3,56380367643139;0,286;0,101;356,279367643139;6,76766318154321;356,259167643139
7;6;2;15;6;2;1;9;3,2544935456597;3,51276011145434;0,333;0,253;351,023011145434;6,13679191471074;350,972411145434
7;5;3;15;6;2;1;9;3,22116021232637;3,45878868028338;0,333;0,323;345,555868028338;5,80038861683524;345,491268028338
7;4;4;15;6;2;1;9;3,33782687899304;3,40489625311368;0,25;0,253;340,236625311368;5,9483537541896;340,186025311368
6;6;3;15;6;2;1;9;4;3,42951779712832;0,333;0;342,951779712832;6,85903559425664;342,951779712832
6;5;4;15;6;2;1;9;4,05;3,37554636595736;0,25;0,424;337,130636595736;5,3198610727488;337,045836595736
11;2;1;14;6;2;1;9;1,24795565176389;3,68437183880394;0,545;0;368,437183880394;7,36874367760789;368,437183880394
10;3;1;14;6;2;1;9;1,23307945363789;3,62376110224599;0,6;0,236;362,140110224599;6,39231458436193;362,092910224599
10;2;2;14;6;2;1;9;1,39974612030456;3,59397974184501;0,5;0,283;359,114974184501;6,17086321674788;359,058374184501
9;4;1;14;6;2;1;9;1,57735026918963;3,58086868763462;0,5;0,236;357,850868763462;6,31665236498747;357,803668763462
9;3;2;14;6;2;1;9;1,41068360252296;3,53360725212314;0,5;0;353,360725212314;7,06721450424628;353,360725212314
8;5;1;14;6;2;1;9;2,09730177875068;3,54568768491809;0,4;0,177;354,391768491809;6,46378864960567;354,356368491809
8;4;2;14;6;2;1;9;1,79730177875068;3,49179525774838;0,5;0;349,179525774838;6,98359051549676;349,179525774838
8;3;3;14;6;2;1;9;1,96396844541735;3,4445338222369;0,333;0,059;344,39438222369;6,68584014896183;344,38258222369
7;6;1;14;6;2;1;9;2,7544935456597;3,51276011145434;0,333;0,101;351,175011145434;6,6707314516518;351,154811145434
7;5;2;14;6;2;1;9;2,38782687899304;3,45878868028338;0,4;0,253;345,625868028338;6,04250382445507;345,575268028338
7;4;3;14;6;2;1;9;2,42116021232637;3,40489625311368;0,333;0,253;340,236625311368;5,9483537541896;340,186025311368
6;6;2;14;6;2;1;9;3,16666666666667;3,42951779712832;0,333;0,354;342,597779712832;5,64498629407321;342,526979712832
6;5;3;14;6;2;1;9;3,13333333333333;3,37554636595736;0,333;0,424;337,130636595736;5,3198610727488;337,045836595736
6;4;4;14;6;2;1;9;3,25;3,32165393878765;0,25;0,354;331,811393878765;5,46744238324448;331,740593878765
10;2;1;13;6;2;1;9;0,899746120304559;3,59397974184501;0,6;0;359,397974184501;7,18795948369002;359,397974184501
9;3;1;13;6;2;1;9;0,910683602522959;3,53360725212314;0,667;0;353,360725212314;7,06721450424628;353,360725212314
9;2;2;13;6;2;1;9;1,07735026918963;3,50382589172216;0,5;0,236;350,146589172216;6,18074887299789;350,099389172216
8;4;1;13;6;2;1;9;1,29730177875068;3,49179525774838;0,5;0,177;349,002525774838;6,3655427548753;348,967125774838
8;3;2;13;6;2;1;9;1,13063511208401;3,4445338222369;0,5;0,059;344,39438222369;6,68584014896183;344,38258222369
7;5;1;13;6;2;1;9;1,88782687899304;3,45878868028338;0,4;0,101;345,777868028338;6,56823970385815;345,757668028338
7;4;2;13;6;2;1;9;1,58782687899304;3,40489625311368;0,5;0;340,489625311368;6,80979250622736;340,489625311368
7;3;3;13;6;2;1;9;1,7544935456597;3,3576348176022;0,333;0,135;335,62848176022;6,2619889348281;335,60148176022
6;6;1;13;6;2;1;9;2,66666666666667;3,42951779712832;0,333;0;342,951779712832;6,85903559425664;342,951779712832
6;5;2;13;6;2;1;9;2,3;3,37554636595736;0,4;0,354;337,200636595736;5,55614931836581;337,129836595736
6;4;3;13;6;2;1;9;2,33333333333333;3,32165393878765;0,333;0,354;331,811393878765;5,46744238324448;331,740593878765
9;2;1;12;6;2;1;9;0,577350269189626;3,50382589172216;0,667;0;350,382589172216;7,00765178344432;350,382589172216
8;3;1;12;6;2;1;9;0,630635112084014;3,4445338222369;0,667;0,177;344,27638222369;6,27938515793787;344,24098222369
8;2;2;12;6;2;1;9;0,79730177875068;3,41475246183592;0,5;0,177;341,298246183592;6,22509373792689;341,262846183592
7;4;1;12;6;2;1;9;1,08782687899304;3,40489625311368;0,5;0,101;340,388625311368;6,46589798466288;340,368425311368
7;3;2;12;6;2;1;9;0,921160212326371;3,3576348176022;0,5;0,135;335,62848176022;6,2619889348281;335,60148176022
6;5;1;12;6;2;1;9;1,8;3,37554636595736;0,4;0;337,554636595736;6,75109273191472;337,554636595736
6;4;2;12;6;2;1;9;1,5;3,32165393878765;0,5;0;332,165393878765;6,64330787757531;332,165393878765
6;3;3;12;6;2;1;9;1,66666666666667;3,27439250327617;0,333;0,236;327,203250327617;5,77602837577917;327,156050327617
8;2;1;11;6;2;1;9;0,29730177875068;3,41475246183592;0,75;0;341,475246183592;6,82950492367184;341,475246183592
7;3;1;11;6;2;1;9;0,421160212326371;3,3576348176022;0,667;0,101;335,66248176022;6,37614851862658;335,64228176022
7;2;2;11;6;2;1;9;0,587826878993038;3,32785345720122;0,5;0,101;332,684345720122;6,31959371522512;332,664145720122
6;4;1;11;6;2;1;9;1;3,32165393878765;0,5;0;332,165393878765;6,64330787757531;332,165393878765
6;3;2;11;6;2;1;9;0,833333333333333;3,27439250327617;0,5;0,236;327,203250327617;5,77602837577917;327,156050327617
7;2;1;10;6;2;1;9;0,0878268789930378;3,32785345720122;0,857;0;332,785345720122;6,65570691440244;332,785345720122
6;3;1;10;6;2;1;9;0,333333333333333;3,27439250327617;0,667;0;327,439250327617;6,54878500655235;327,439250327617
6;2;2;10;6;2;1;9;0,5;3,24461114287519;0,5;0;324,461114287519;6,48922228575039;324,461114287519
6;2;1;9;6;2;1;9;0;3,24461114287519;1;0;324,461114287519;6,48922228575039;324,461114287519
11;3;1;15;6;3;0;9;2,24795565176389;2,71551166172372;0;0,321;271,230166172372;4,55934408003412;271,165966172372
10;4;1;15;6;3;0;9;2,14974612030456;2,67809850388453;0;0,106;267,703850388453;5,0723185663573;267,682650388453
10;3;2;15;6;3;0;9;2,89974612030456;2,62511956476478;0;0,283;262,228956476478;4,50733029270114;262,172356476478
9;5;1;15;6;3;0;9;2,37735026918963;2,65380820315127;0;0,047;265,333820315127;5,18288742075443;265,324420315127
9;4;2;15;6;3;0;9;2,82735026918963;2,58794465376168;0;0,059;258,735465376168;5,02320057295142;258,723665376168
9;3;3;15;6;3;0;9;3,57735026918963;2,53496571464193;0;0,236;253,260571464193;4,47167952062837;253,213371464193
8;6;1;15;6;3;0;9;2,79730177875068;2,63651644261709;0;0,177;263,474644261709;4,80636947489095;263,439244261709
8;5;2;15;6;3;0;9;3,09730177875068;2,56473477326503;0;0,106;256,367477326503;4,85760766056397;256,346277326503
8;4;3;15;6;3;0;9;3,54730177875068;2,49887122387544;0;0;249,887122387544;4,99774244775089;249,887122387544
7;7;1;15;6;3;0;9;3,37354116470732;2,62286540320068;0;0,303;261,983540320068;4,45100258923155;261,922940320068
7;6;2;15;6;3;0;9;3,58782687899304;2,54961743798239;0;0,253;254,708743798239;4,45418166415523;254,658143798239
7;5;3;15;6;3;0;9;3,88782687899304;2,47783576863033;0;0,182;247,601576863033;4,50470542736994;247,565176863033
7;4;4;15;6;3;0;9;4,33782687899304;2,41197221924074;0;0,076;241,121221924074;4,64063454981919;241,106021924074
6;6;3;15;6;3;0;9;4,5;2,46637512365636;0;0,354;246,283512365636;4,05965345353837;246,212712365636
6;5;4;15;6;3;0;9;4,8;2,3945934543043;0;0,283;239,17634543043;4,11151696104049;239,11974543043
10;3;1;14;6;3;0;9;1,89974612030456;2,62511956476478;0;0,283;262,228956476478;4,50733029270114;262,172356476478
9;4;1;14;6;3;0;9;1,82735026918963;2,58794465376168;0;0,059;258,735465376168;5,02320057295142;258,723665376168
9;3;2;14;6;3;0;9;2,57735026918963;2,53496571464193;0;0,236;253,260571464193;4,47167952062837;253,213371464193
8;5;1;14;6;3;0;9;2,09730177875068;2,56473477326503;0;0,106;256,367477326503;4,85760766056397;256,346277326503
8;4;2;14;6;3;0;9;2,54730177875068;2,49887122387544;0;0;249,887122387544;4,99774244775089;249,887122387544
8;3;3;14;6;3;0;9;3,29730177875068;2,4458922847557;0;0,177;244,41222847557;4,45886163510964;244,37682847557
7;6;1;14;6;3;0;9;2,58782687899304;2,54961743798239;0;0,253;254,708743798239;4,45418166415523;254,658143798239
7;5;2;14;6;3;0;9;2,88782687899304;2,47783576863033;0;0,182;247,601576863033;4,50470542736994;247,565176863033
7;4;3;14;6;3;0;9;3,33782687899304;2,41197221924074;0;0,076;241,121221924074;4,64063454981919;241,106021924074
6;6;2;14;6;3;0;9;3,5;2,46637512365636;0;0,354;246,283512365636;4,05965345353837;246,212712365636
6;5;3;14;6;3;0;9;3,8;2,3945934543043;0;0,283;239,17634543043;4,11151696104049;239,11974543043
6;4;4;14;6;3;0;9;4,25;2,32872990491472;0;0,177;232,695990491472;4,24527461665953;232,660590491472
9;3;1;13;6;3;0;9;1,57735026918963;2,53496571464193;0;0,236;253,260571464193;4,47167952062837;253,213371464193
8;4;1;13;6;3;0;9;1,54730177875068;2,49887122387544;0;0;249,887122387544;4,99774244775089;249,887122387544
8;3;2;13;6;3;0;9;2,29730177875068;2,4458922847557;0;0,177;244,41222847557;4,45886163510964;244,37682847557
7;5;1;13;6;3;0;9;1,88782687899304;2,47783576863033;0;0,182;247,601576863033;4,50470542736994;247,565176863033
7;4;2;13;6;3;0;9;2,33782687899304;2,41197221924074;0;0,076;241,121221924074;4,64063454981919;241,106021924074
7;3;3;13;6;3;0;9;3,08782687899304;2,35899328012099;0;0,101;235,798328012099;4,47972823894977;235,7781280121
6;6;1;13;6;3;0;9;2,5;2,46637512365636;0;0,354;246,283512365636;4,05965345353837;246,212712365636
6;5;2;13;6;3;0;9;2,8;2,3945934543043;0;0,283;239,17634543043;4,11151696104049;239,11974543043
6;4;3;13;6;3;0;9;3,25;2,32872990491472;0;0,177;232,695990491472;4,24527461665953;232,660590491472
8;3;1;12;6;3;0;9;1,29730177875068;2,4458922847557;0;0,177;244,41222847557;4,45886163510964;244,37682847557
7;4;1;12;6;3;0;9;1,33782687899304;2,41197221924074;0;0,076;241,121221924074;4,64063454981919;241,106021924074
7;3;2;12;6;3;0;9;2,08782687899304;2,35899328012099;0;0,101;235,798328012099;4,47972823894977;235,7781280121
6;5;1;12;6;3;0;9;1,8;2,3945934543043;0;0,283;239,17634543043;4,11151696104049;239,11974543043
6;4;2;12;6;3;0;9;2,25;2,32872990491472;0;0,177;232,695990491472;4,24527461665953;232,660590491472
6;3;3;12;6;3;0;9;3;2,27575096579497;0;0;227,575096579497;4,55150193158994;227,575096579497
7;3;1;11;6;3;0;9;1,08782687899304;2,35899328012099;0;0,101;235,798328012099;4,47972823894977;235,7781280121
6;4;1;11;6;3;0;9;1,25;2,32872990491472;0;0,177;232,695990491472;4,24527461665953;232,660590491472
6;3;2;11;6;3;0;9;2;2,27575096579497;0;0;227,575096579497;4,55150193158994;227,575096579497
6;3;1;10;6;3;0;9;1;2,27575096579497;0;0;227,575096579497;4,55150193158994;227,575096579497
11;2;2;15;7;0;2;9;2,79869161712889;2,68888324282291;0;0,257;268,631324282291;4,68672349224033;268,579924282291
10;3;2;15;7;0;2;9;3,50610719267131;2,59660845315875;0;0,212;259,448845315875;4,64273591424784;259,406445315875
9;4;2;15;7;0;2;9;4,25660011963983;2,50518435424095;0;0,157;250,361435424095;4,61705476486608;250,330035424095
9;3;3;15;7;0;2;9;3,58993345297317;2,53496571464193;0;0,079;253,417571464193;4,86966913782715;253,401771464193
8;5;2;15;7;0;2;9;5,07432544468767;2,41534768334676;0;0,088;241,446768334676;4,61814477055901;241,429168334676
8;4;3;15;7;0;2;9;4,407658778021;2,44512904374774;0;0,147;244,365904374774;4,53082411806457;244,336504374774
7;6;2;15;7;0;2;9;6;2,32805948148851;0;0;232,805948148851;4,65611896297702;232,805948148851
7;5;3;15;7;0;2;9;5,33333333333333;2,35784084188949;0;0,236;235,548084188949;4,15923124509306;235,500884188949
7;4;4;15;7;0;2;9;5;2,40510227740097;0;0,354;240,156227740097;3,958798348602;240,085427740097
10;2;2;14;7;0;2;9;2,50610719267131;2,59660845315875;0;0,212;259,448845315875;4,64273591424784;259,406445315875
9;3;2;14;7;0;2;9;3,25660011963983;2,50518435424095;0;0,157;250,361435424095;4,61705476486608;250,330035424095
8;4;2;14;7;0;2;9;4,07432544468767;2,41534768334676;0;0,088;241,446768334676;4,61814477055901;241,429168334676
8;3;3;14;7;0;2;9;3,407658778021;2,44512904374774;0;0,147;244,365904374774;4,53082411806457;244,336504374774
7;5;2;14;7;0;2;9;5;2,32805948148851;0;0;232,805948148851;4,65611896297702;232,805948148851
7;4;3;14;7;0;2;9;4,33333333333333;2,35784084188949;0;0,236;235,548084188949;4,15923124509306;235,500884188949
9;2;2;13;7;0;2;9;2,25660011963983;2,50518435424095;0;0,157;250,361435424095;4,61705476486608;250,330035424095
8;3;2;13;7;0;2;9;3,07432544468767;2,41534768334676;0;0,088;241,446768334676;4,61814477055901;241,429168334676
7;4;2;13;7;0;2;9;4;2,32805948148851;0;0;232,805948148851;4,65611896297702;232,805948148851
7;3;3;13;7;0;2;9;3,33333333333333;2,35784084188949;0;0,236;235,548084188949;4,15923124509306;235,500884188949
8;2;2;12;7;0;2;9;2,07432544468767;2,41534768334676;0;0,088;241,446768334676;4,61814477055901;241,429168334676
7;3;2;12;7;0;2;9;3;2,32805948148851;0;0;232,805948148851;4,65611896297702;232,805948148851
7;2;2;11;7;0;2;9;2;2,32805948148851;0;0;232,805948148851;4,65611896297702;232,805948148851
13;1;1;15;7;1;1;9;1,4583887663481;3,86665320236993;0,538;0;386,665320236993;7,73330640473987;386,665320236993
12;2;1;15;7;1;1;9;1,61934367898286;3,77434222930251;0,5;0,295;377,139222930251;6,43525350096079;377,080222930251
11;3;1;15;7;1;1;9;2,13202495046222;3,68180727669585;0,333;0,257;367,923727669585;6,41739008328086;367,872327669585
11;2;2;15;7;1;1;9;1,79869161712889;3,68180727669585;0,5;0;368,180727669585;7,36361455339169;368,180727669585
10;4;1;15;7;1;1;9;2,75610719267131;3,58953248703168;0,25;0,212;358,741248703168;6,41808408681265;358,698848703168
10;3;2;15;7;1;1;9;2,33944052600465;3,58953248703168;0,333;0,141;358,812248703168;6,6729408933919;358,784048703168
9;5;1;15;7;1;1;9;3,45660011963983;3,49810838811389;0,2;0,157;349,653838811389;6,4470137592939;349,622438811389
9;4;2;15;7;1;1;9;3,00660011963983;3,49810838811389;0,25;0,196;349,614838811389;6,31058753215746;349,575638811389
9;3;3;15;7;1;1;9;2,9232667863065;3,49810838811389;0,333;0;349,810838811389;6,99621677622778;349,810838811389
8;6;1;15;7;1;1;9;4,24099211135434;3,4082717172197;0,167;0,088;340,73917172197;6,51661552332407;340,72157172197
8;5;2;15;7;1;1;9;3,77432544468767;3,4082717172197;0,2;0,265;340,56217172197;5,91335142937618;340,50917172197
8;4;3;15;7;1;1;9;3,657658778021;3,4082717172197;0,25;0,383;340,44417172197;5,51117536674426;340,36757172197
7;7;1;15;7;1;1;9;5,14285714285714;3,32098351536145;0,143;0;332,098351536145;6,6419670307229;332,098351536145
7;6;2;15;7;1;1;9;4,66666666666667;3,32098351536145;0,167;0,354;331,744351536145;5,46633886628494;331,673551536145
7;5;3;15;7;1;1;9;4,53333333333333;3,32098351536145;0,2;0,471;331,627351536145;5,07778379498765;331,533151536145
7;4;4;15;7;1;1;9;4,5;3,32098351536145;0,25;0;332,098351536145;6,6419670307229;332,098351536145
12;1;1;14;7;1;1;9;1,11934367898286;3,77434222930251;0,583;0;377,434222930251;7,54868445860503;377,434222930251
11;2;1;14;7;1;1;9;1,29869161712889;3,68180727669585;0,5;0,257;367,923727669585;6,41739008328086;367,872327669585
10;3;1;14;7;1;1;9;1,83944052600465;3,58953248703168;0,333;0,212;358,741248703168;6,41808408681265;358,698848703168
10;2;2;14;7;1;1;9;1,50610719267131;3,58953248703168;0,5;0;358,953248703168;7,17906497406337;358,953248703168
9;4;1;14;7;1;1;9;2,50660011963983;3,49810838811389;0,25;0,157;349,653838811389;6,4470137592939;349,622438811389
9;3;2;14;7;1;1;9;2,08993345297317;3,49810838811389;0,333;0,196;349,614838811389;6,31058753215746;349,575638811389
8;5;1;14;7;1;1;9;3,27432544468767;3,4082717172197;0,2;0,088;340,73917172197;6,51661552332407;340,72157172197
8;4;2;14;7;1;1;9;2,82432544468767;3,4082717172197;0,25;0,265;340,56217172197;5,91335142937618;340,50917172197
8;3;3;14;7;1;1;9;2,74099211135434;3,4082717172197;0,333;0;340,82717172197;6,8165434344394;340,82717172197
7;6;1;14;7;1;1;9;4,16666666666667;3,32098351536145;0,167;0;332,098351536145;6,6419670307229;332,098351536145
7;5;2;14;7;1;1;9;3,7;3,32098351536145;0,2;0,354;331,744351536145;5,46633886628494;331,673551536145
7;4;3;14;7;1;1;9;3,58333333333333;3,32098351536145;0,25;0,471;331,627351536145;5,07778379498765;331,533151536145
